coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
DPSIRUSE:infTotal,-0.07324567068940509,0.16187042693390005,0.1643251494328308,0.4457362183586197,0.6557878,7,aP
DPSIRRESISTANCE:infTotal,-0.19853367428974925,0.1611993490605782,0.16364389483986114,1.213205506285649,0.2250513,7,aP
DPSIRDRI:infTotal,0.047966081698925064,0.16124153931825208,0.16368672490170869,0.2930358691441102,0.7694947,7,aP
sanTotal,0.028298080402651374,0.1108525454251801,0.11244574475797141,0.25165986017132314,0.801304,7,aP
AwarenessandEducation,-0.13171865769447139,0.15196109271677669,0.15349342349666723,0.8581387703384658,0.3908158,7,aP
vacTotal,0.09093439431813644,0.10969449813522293,0.1113027661554946,0.817000308789247,0.4139283,7,aP
x0008,0.12946470500386936,0.1987242848785709,0.2016386117219122,0.6420630646992317,0.5208322,7,aP
gini,0.21946275791868883,0.10630511857329647,0.10785881174927077,2.034722563315951,0.0418788,7,aP
DPSIRUSE:MonitoringandSurveillance,-0.9227876433041892,0.4044922471950513,0.4106262658582516,2.2472689158728483,0.0246228,7,aP
DPSIRRESISTANCE:MonitoringandSurveillance,-0.1708121267373862,0.579661510935299,0.5884519254638164,0.29027371539782537,0.7716068,7,aP
DPSIRDRI:MonitoringandSurveillance,-1.0851195520550383,0.5791941610989879,0.5879774883900167,1.8455120705833175,0.0649631,7,aP
(Intercept),0,0,0,NA,NA,8,aS
DPSIRUSE,0.3678530440477046,0.12545951634659164,0.12734933177686186,2.8885353296729264,0.0038704,8,aS
DPSIRRESISTANCE,0.21334522729248506,0.17842747503647277,0.18013012113886254,1.1843950692067595,0.2362567,8,aS
DPSIRDRI,0.4550535666410557,0.13840197457359008,0.1402286521864556,3.245082652837537,0.0011742,8,aS
infTotal,-7.37655651036141e-4,0.16257223257126993,0.16455779553715416,0.004482653943122323,0.9964234,8,aS
DPSIRUSE:infTotal,-0.07200477853397906,0.18817267152513764,0.191344124932287,0.37631037043577986,0.7066862,8,aS
DPSIRRESISTANCE:infTotal,-0.25019301195694055,0.1884332978214486,0.19160914381200944,1.3057467247095922,0.1916387,8,aS
DPSIRDRI:infTotal,0.026812994586760047,0.18643996361774978,0.18958221404684744,0.14143201524239146,0.8875287,8,aS
workTotal,0.2698752791511443,0.12842671828937124,0.13007875437574987,2.0747068223883316,0.0380137,8,aS
MonitoringandSurveillance,-0.22976106223659348,0.13365649804739013,0.13537740280025543,1.6971891725208956,0.0896609,8,aS
sanTotal,0.11693629018175417,0.1313759974218985,0.13336106921480623,0.8768397769322284,0.3805737,8,aS
x0008,0.3400906966495788,0.2442462172198705,0.2473187779361498,1.3751106951425254,0.1690971,8,aS
General,-0.2406720677816439,0.14085968262000248,0.14288012276740386,1.6844335175539893,0.0920979,8,aS
RESPONSE,-0.1506598894201207,0.1673467074822495,0.16922804193112884,0.8902773305232424,0.373317,8,aS
vacTotal,0.08005927979950984,0.1298006532362965,0.13173456598002461,0.6077317612421445,0.5433654,8,aS
AwarenessandEducation,-0.06463461804540523,0.15748048494967215,0.15929905610373032,0.4057438859105184,0.6849308,8,aS
